id;fecha_recibo;fecha_cobro;numero_cheque;numero_cuenta;banco_id
1;2019-09-18;2019-09-18;Lead Personal Loan Account Checking Account;French Guiana capacitor;1
2;2019-09-18;2019-09-18;Auto Loan Account cross-platform Auto Loan Account;Handcrafted Customer;2
3;2019-09-18;2019-09-18;online Port Sleek Wooden Fish;Handmade Generic Concrete Tuna;3
4;2019-09-18;2019-09-18;Savings Account utilisation Hill;Pizza redundant deposit;4
5;2019-09-18;2019-09-18;Clothing deposit;Designer;5
6;2019-09-18;2019-09-18;Intelligent whiteboard;Practical Steel Mouse;6
7;2019-09-18;2019-09-18;Pizza Assurance;program e-commerce;7
8;2019-09-18;2019-09-18;parse Avon;XML New Jersey;8
9;2019-09-18;2019-09-19;target Auto Loan Account Personal Loan Account;systems zero tolerance Iowa;9
10;2019-09-18;2019-09-18;benchmark;invoice program;10
