id;fecha_cobro;fecha_recibo;numero_cheque;numero_cuenta;banco_id;forma_de_pago_id
1;2019-09-18;2019-09-18;Lights interface Central;intranet index;1;1
2;2019-09-18;2019-09-18;customized;synthesize Bahrain;2;2
3;2019-09-18;2019-09-18;Bouvet Island (Bouvetoya) experiences;Credit Card Account;3;3
4;2019-09-18;2019-09-18;Bacon;Investment Account Rwanda Customer;4;4
5;2019-09-18;2019-09-18;copy;Robust hack Electronics;5;5
6;2019-09-18;2019-09-18;Cambridgeshire navigate Licensed;Fantastic indexing;6;6
7;2019-09-18;2019-09-18;Buckinghamshire Cameroon;Intuitive application;7;7
8;2019-09-18;2019-09-19;Credit Card Account Nevada;Persistent transparent Chips;8;8
9;2019-09-18;2019-09-18;Intuitive vortals;Communications;9;9
10;2019-09-18;2019-09-18;Granite Generic;Clothing;10;10
