id;numero_telefono;nombre;apellido;direccion_id;estado_persona_id
1;mobile Fish;Home Loan Account Table Computer;Trace;1;1
2;Savings Account alarm;Tasty Metal Bacon;red Chips Soap;2;2
3;Home Loan Account;web-readiness;Namibia;3;3
4;Steel zero administration;Multi-channelled Licensed;grey Cambridgeshire;4;4
5;Canyon HDD;Table Small Frozen Sausages Planner;envisioneer Music Public-key;5;5
6;infomediaries;Investment Account;Games Regional Digitized;6;6
7;copy convergence;Mayotte;Industrial;7;7
8;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;8;8
9;compress South Georgia and the South Sandwich Islands;compelling mission-critical;bifurcated scalable;9;9
10;Small;deliverables reinvent 24 hour;overriding;10;10
